date,invoice_id,customer_name,region,sku_code,sku_name,category,qty_sold,unit_cost,unit_price,unit_discount,returned_units
2025-08-07,INV-24780,Meijer,National,SKU-1880,PremiumClean Beauty 6-ct Bundle,Beauty,426,5.66,15.63,1.71,21
2025-10-08,INV-31456,BJ's Wholesale,National,SKU-1520,UltraFresh Paper Goods 48-ct Pack,Paper Goods,417,14.88,24.98,0,0
2025-10-02,INV-31551,H-E-B,Northeast,SKU-1165,EssentialPlus Beauty 48-ct Box,Beauty,119,19.63,58.39,0,17
2025-08-17,INV-87115,Family Dollar,Northeast,SKU-1363,SuperComfort Beauty 36-ct Bundle,Beauty,41,12.63,30.92,0,0
2025-11-01,INV-73915,CVS,Southeast,SKU-1830,ProSoft Medical Supplies 24-ct Pack,Medical Supplies,288,27.09,39.18,0,0
2025-09-30,INV-25219,Costco,Midwest,SKU-1252,EliteMax Paper Goods Bundle,Paper Goods,345,13.5,29.33,0,0
2025-10-23,INV-73393,CVS,Southwest,SKU-1544,ElitePlus Medical Supplies 12-ct Bundle,Medical Supplies,122,26.8,47.03,1.92,0
2025-09-25,INV-33797,Publix,West,SKU-1168,PremiumGuard Personal Care Kit,Personal Care,245,9.74,23.99,0,20
2025-08-27,INV-93277,CVS,Southwest,SKU-1393,FreshGuard Beauty Collection,Beauty,159,20.28,51.81,0,0
2025-09-18,INV-90706,Family Dollar,Southeast,SKU-1154,EliteClean Medical Supplies 6-ct Kit,Medical Supplies,352,11.78,26.19,0.79,0
2025-10-14,INV-58688,Walmart,West,SKU-1764,FreshComfort Food & Beverage 12-ct Case,Food & Beverage,159,4.22,5.11,0,0
2025-10-14,INV-87474,H-E-B,Southwest,SKU-1990,ProClean Personal Care 24-ct Bundle,Personal Care,31,2.35,5.33,0.72,0
2025-10-13,INV-26641,Whole Foods,Southwest,SKU-1614,SuperClean Home Goods 48-ct Pack,Home Goods,369,12.04,26.21,0,0
2025-09-04,INV-16077,Dollar General,Southeast,SKU-1607,FreshGuard Cleaning Case,Cleaning,435,11.26,21.7,0,0
2025-08-30,INV-98818,Target,Midwest,SKU-1192,PremiumMax Health & Wellness 6-ct Box,Health & Wellness,309,12.16,29.42,0,0
2025-08-06,INV-72460,Costco,West,SKU-1661,EssentialGuard Home Goods 24-ct Case,Home Goods,254,23.07,44.03,0,0
2025-09-22,INV-37839,Wegmans,Midwest,SKU-1844,PremiumSoft Food & Beverage 12-ct Set,Food & Beverage,55,9.08,13.35,0,4
2025-08-13,INV-89846,Sam's Club,Southwest,SKU-1911,EssentialMax Home Goods Kit,Home Goods,144,30.47,50.31,0,0
2025-10-26,INV-89382,Family Dollar,Southeast,SKU-1112,ProClean Home Goods 24-ct Case,Home Goods,328,30.48,72.29,0,0
2025-10-02,INV-82160,Whole Foods,Southeast,SKU-1145,FreshPlus Cleaning 6-ct Collection,Cleaning,210,2.05,3.33,0,0
2025-09-01,INV-86842,Costco,Southwest,SKU-1752,AdvancedBright Beauty 6-ct Bundle,Beauty,421,4.17,12.33,0,60
2025-08-11,INV-34810,CVS,National,SKU-1187,AdvancedBright Medical Supplies 6-ct Case,Medical Supplies,498,15.25,30.03,0,0
2025-10-24,INV-27697,Amazon,West,SKU-1881,UltraPlus Personal Care Pack,Personal Care,289,8.4,22.07,1.1,15
2025-08-07,INV-97970,Rite Aid,Southeast,SKU-1704,AdvancedMax Paper Goods Set,Paper Goods,145,6.42,11.94,0,14
2025-09-11,INV-38740,Meijer,Midwest,SKU-1394,EliteMax Food & Beverage 6-ct Case,Food & Beverage,454,6.69,11.12,1.74,0
2025-09-30,INV-32159,Meijer,Southwest,SKU-1371,AdvancedSoft Cleaning 36-ct Collection,Cleaning,273,8.89,16.34,1.9,0
2025-11-03,INV-40128,Costco,Southwest,SKU-1447,FreshGuard Cleaning 12-ct Collection,Cleaning,114,4.74,10.82,0,0
2025-10-03,INV-22825,BJ's Wholesale,West,SKU-1858,UltraComfort Beauty 36-ct Set,Beauty,461,14.03,35.29,0,0
2025-08-18,INV-31380,Walmart,West,SKU-1204,FreshBright Personal Care 6-ct Pack,Personal Care,381,11.19,36.44,0,0
2025-08-08,INV-51416,Sam's Club,Midwest,SKU-1311,MegaPlus Personal Care 12-ct Kit,Personal Care,346,4.04,12.14,0,46
2025-10-16,INV-42469,Rite Aid,West,SKU-1043,EliteClean Cleaning 12-ct Kit,Cleaning,383,11.96,20.45,1.79,0
2025-09-17,INV-67646,Sam's Club,National,SKU-1184,SuperShield Home Goods 48-ct Set,Home Goods,233,32.76,76.07,0,0
2025-10-13,INV-34708,BJ's Wholesale,Southeast,SKU-1713,PremiumCare Paper Goods 36-ct Set,Paper Goods,275,14.14,24.87,0,0
2025-09-15,INV-55602,Wegmans,Midwest,SKU-1326,PremiumClean Paper Goods 24-ct Pack,Paper Goods,471,5.35,8.94,0,0
2025-10-04,INV-96850,Target,Southeast,SKU-1909,MegaClean Cleaning Collection,Cleaning,281,2.64,6.41,0,0
2025-08-22,INV-17327,Publix,Midwest,SKU-1893,EssentialBright Personal Care 6-ct Bundle,Personal Care,232,10.13,21.77,0,0
2025-08-30,INV-64349,BJ's Wholesale,Southwest,SKU-1250,AdvancedPlus Home Goods 24-ct Box,Home Goods,83,18.78,31.31,0,0
2025-09-17,INV-98130,Family Dollar,Southwest,SKU-1691,PremiumSoft Personal Care 6-ct Bundle,Personal Care,437,5.89,13.44,0,0
2025-09-20,INV-89102,Sam's Club,Northeast,SKU-1052,PremiumComfort Personal Care 12-ct Box,Personal Care,404,4.19,8.45,0.71,0
2025-10-10,INV-12183,Walmart,Southwest,SKU-1435,MegaPlus Personal Care 12-ct Box,Personal Care,303,13.32,30.14,0,0
2025-09-12,INV-60830,Costco,Southwest,SKU-1640,PremiumFresh Health & Wellness 36-ct Bundle,Health & Wellness,167,9.97,19.2,0,0
2025-09-09,INV-67326,BJ's Wholesale,West,SKU-1335,PureSoft Paper Goods Collection,Paper Goods,396,14.74,22.82,0,0
2025-08-18,INV-20108,Kroger,Southeast,SKU-1067,MegaBright Personal Care Box,Personal Care,403,12.97,25.13,0.92,13
2025-08-07,INV-48623,Walgreens,National,SKU-1423,EliteFresh Cleaning 36-ct Collection,Cleaning,101,5.6,11.14,0,0
2025-08-19,INV-46642,H-E-B,Southeast,SKU-1278,PremiumComfort Home Goods 12-ct Collection,Home Goods,256,16.69,38.2,0,0
2025-09-06,INV-69246,CVS,Northeast,SKU-1005,UltraBright Beauty Bundle,Beauty,388,4.53,10.05,1.92,0
2025-10-27,INV-51748,Sam's Club,Northeast,SKU-1622,FreshShield Personal Care 24-ct Collection,Personal Care,355,2.52,6.25,0,14
2025-10-29,INV-59296,Albertsons,Northeast,SKU-1218,ProPlus Health & Wellness Box,Health & Wellness,341,6.84,13.89,0,0
2025-11-01,INV-99289,Walgreens,Southeast,SKU-1002,PremiumComfort Cleaning 24-ct Kit,Cleaning,366,1.9,3.93,0,0
2025-09-15,INV-17402,Albertsons,West,SKU-1113,SuperFresh Personal Care 6-ct Box,Personal Care,246,7.67,20.4,0.64,0
2025-10-17,INV-15506,Publix,National,SKU-1826,ProComfort Food & Beverage 24-ct Kit,Food & Beverage,379,10.0,13.63,0,0
2025-08-25,INV-40695,Amazon,National,SKU-1586,PureBright Health & Wellness 6-ct Bundle,Health & Wellness,80,11.74,26.83,0,0
2025-09-24,INV-71720,Dollar General,Southwest,SKU-1643,FreshClean Medical Supplies 12-ct Bundle,Medical Supplies,298,21.75,28.31,0,0
2025-08-28,INV-61736,H-E-B,National,SKU-1899,SuperShield Personal Care 12-ct Kit,Personal Care,51,5.53,18.61,0,0
2025-10-30,INV-24596,BJ's Wholesale,Southeast,SKU-1140,FreshShield Beauty 36-ct Set,Beauty,434,18.47,44.02,0,49
2025-09-05,INV-93258,Albertsons,Southwest,SKU-1608,PremiumComfort Paper Goods 12-ct Collection,Paper Goods,225,8.96,15.04,0,0
2025-10-12,INV-36095,CVS,Southwest,SKU-1906,MegaPlus Paper Goods 12-ct Set,Paper Goods,275,14.75,23.69,0,0
2025-08-29,INV-56230,CVS,Southeast,SKU-1786,UltraClean Beauty Set,Beauty,330,11.71,29.44,0.71,33
2025-08-10,INV-22653,H-E-B,National,SKU-1148,EliteFresh Personal Care 48-ct Bundle,Personal Care,344,7.95,18.77,0,15
2025-10-08,INV-95388,Dollar General,Southwest,SKU-1613,SuperCare Health & Wellness 12-ct Bundle,Health & Wellness,413,20.44,37.91,0,0
2025-08-06,INV-32977,Costco,Midwest,SKU-1875,UltraGuard Health & Wellness 36-ct Case,Health & Wellness,160,19.26,41.72,0,0
2025-10-03,INV-93089,BJ's Wholesale,Northeast,SKU-1703,UltraCare Home Goods 24-ct Box,Home Goods,267,35.33,58.69,0,0
2025-09-21,INV-99382,Kroger,West,SKU-1661,EssentialGuard Home Goods 24-ct Case,Home Goods,22,23.07,42.96,0,0
2025-11-02,INV-26191,Family Dollar,Midwest,SKU-1480,AdvancedMax Personal Care 24-ct Collection,Personal Care,266,2.92,8.88,1.9,0
2025-10-18,INV-94379,Amazon,Southwest,SKU-1940,MegaComfort Personal Care 48-ct Bundle,Personal Care,267,7.4,14.9,0,32
2025-10-13,INV-96948,Family Dollar,Northeast,SKU-1574,SuperFresh Health & Wellness 12-ct Pack,Health & Wellness,210,8.52,19.8,0,0
2025-09-17,INV-39893,Rite Aid,Northeast,SKU-1073,EliteFresh Personal Care Pack,Personal Care,158,12.27,37.77,0,0
2025-10-25,INV-78502,Walgreens,Southwest,SKU-1799,SuperCare Home Goods 6-ct Box,Home Goods,248,24.35,54.29,0,0
2025-08-06,INV-34216,Sam's Club,Southwest,SKU-1874,PremiumCare Beauty 6-ct Box,Beauty,255,11.51,44.46,0.26,0
2025-08-17,INV-83772,Family Dollar,Southwest,SKU-1152,SuperBright Medical Supplies 36-ct Collection,Medical Supplies,421,13.82,23.74,0,0
2025-08-29,INV-27075,Albertsons,Southwest,SKU-1762,EssentialMax Paper Goods 6-ct Collection,Paper Goods,415,17.87,30.23,0,0
2025-09-04,INV-49175,Kroger,West,SKU-1276,MegaShield Personal Care Set,Personal Care,58,6.21,15.13,0,0
2025-09-05,INV-69868,Amazon,Midwest,SKU-1702,EssentialFresh Beauty 48-ct Box,Beauty,296,14.12,46.42,0,0
2025-09-25,INV-50514,Wegmans,Northeast,SKU-1445,FreshPlus Paper Goods 24-ct Collection,Paper Goods,91,18.31,28.38,0,0
2025-09-23,INV-41513,Walgreens,Southeast,SKU-1857,ProCare Home Goods 36-ct Collection,Home Goods,454,10.84,19.3,0.73,0
2025-10-05,INV-70687,Walmart,Midwest,SKU-1966,PremiumCare Cleaning Kit,Cleaning,104,5.82,10.5,0,11
2025-08-08,INV-30510,Dollar General,Southwest,SKU-1405,PurePlus Personal Care 24-ct Bundle,Personal Care,263,8.95,27.76,0,0
2025-10-02,INV-32564,Walgreens,Southwest,SKU-1178,UltraGuard Health & Wellness 48-ct Set,Health & Wellness,175,24.94,49.18,0,24
2025-11-01,INV-26836,Walgreens,West,SKU-1471,ProCare Paper Goods 48-ct Bundle,Paper Goods,74,16.03,24.94,0,0
2025-09-27,INV-60588,Meijer,National,SKU-1159,EliteMax Home Goods 48-ct Kit,Home Goods,223,38.03,64.91,1.69,0
2025-10-27,INV-13583,BJ's Wholesale,West,SKU-1576,AdvancedMax Personal Care 24-ct Set,Personal Care,484,1.92,5.04,0,0
2025-08-07,INV-63373,Wegmans,National,SKU-1455,UltraShield Beauty 6-ct Case,Beauty,244,21.29,58.99,0,0
2025-08-22,INV-44719,Albertsons,National,SKU-1491,PremiumPlus Paper Goods 12-ct Case,Paper Goods,344,4.76,6.63,0,0
2025-09-09,INV-19851,Albertsons,Northeast,SKU-1313,UltraShield Health & Wellness 12-ct Bundle,Health & Wellness,394,7.73,14.05,0,9
2025-10-24,INV-84921,Albertsons,Midwest,SKU-1725,SuperBright Health & Wellness 6-ct Set,Health & Wellness,302,12.09,31.98,1.0,0
2025-09-27,INV-17718,Meijer,Midwest,SKU-1867,SuperMax Cleaning 48-ct Kit,Cleaning,426,5.47,12.39,1.27,0
2025-09-22,INV-28603,Amazon,Northeast,SKU-1387,FreshComfort Cleaning 24-ct Kit,Cleaning,106,4.73,8.2,0,14
2025-08-20,INV-43206,Walmart,West,SKU-1834,FreshGuard Health & Wellness 24-ct Case,Health & Wellness,272,20.23,45.5,1.99,0
2025-09-08,INV-21474,Walmart,Midwest,SKU-1157,UltraShield Cleaning Collection,Cleaning,286,11.99,21.24,0,0
2025-11-03,INV-20846,Dollar General,Southwest,SKU-1599,SuperClean Personal Care 48-ct Pack,Personal Care,213,10.34,21.11,0,0
2025-08-31,INV-99864,Wegmans,Northeast,SKU-1420,EssentialComfort Medical Supplies Case,Medical Supplies,314,10.51,15.6,1.15,32
2025-08-18,INV-48315,H-E-B,Southwest,SKU-1267,MegaPlus Cleaning 48-ct Pack,Cleaning,135,8.43,15.04,1.87,0
2025-10-13,INV-68672,CVS,Southwest,SKU-1255,UltraCare Cleaning 48-ct Kit,Cleaning,219,7.62,18.32,0,0
2025-10-03,INV-86407,Sam's Club,West,SKU-1444,EssentialCare Food & Beverage 24-ct Case,Food & Beverage,464,7.52,10.06,0,23
2025-09-23,INV-86870,H-E-B,West,SKU-1506,PureMax Personal Care 48-ct Box,Personal Care,332,10.04,31.25,0,0
2025-10-19,INV-32944,Publix,Midwest,SKU-1926,FreshSoft Medical Supplies 6-ct Kit,Medical Supplies,357,12.13,18.32,0,0
2025-08-09,INV-38824,Dollar General,Midwest,SKU-1251,MegaShield Health & Wellness 36-ct Kit,Health & Wellness,119,16.09,29.32,0,0
2025-08-29,INV-77249,Walgreens,Northeast,SKU-1195,AdvancedFresh Cleaning 48-ct Kit,Cleaning,124,7.31,14.72,0.21,0
2025-08-24,INV-74889,Target,Northeast,SKU-1703,UltraCare Home Goods 24-ct Box,Home Goods,147,35.33,57.57,0.5,0
2025-10-27,INV-20984,BJ's Wholesale,Southwest,SKU-1799,SuperCare Home Goods 6-ct Box,Home Goods,420,24.35,55.34,0,0
2025-08-26,INV-92629,Dollar General,Southeast,SKU-1243,SuperCare Health & Wellness 36-ct Bundle,Health & Wellness,102,15.27,35.85,0,0
2025-08-29,INV-87893,Family Dollar,Southwest,SKU-1529,AdvancedComfort Paper Goods 12-ct Case,Paper Goods,394,16.73,26.69,0,0
2025-10-06,INV-97791,CVS,Midwest,SKU-1789,MegaGuard Cleaning Collection,Cleaning,58,2.32,5.9,0,0
2025-10-18,INV-74664,Family Dollar,National,SKU-1683,UltraBright Food & Beverage 12-ct Kit,Food & Beverage,140,9.51,14.16,1.97,0
2025-08-22,INV-89159,Kroger,West,SKU-1602,FreshClean Paper Goods 12-ct Set,Paper Goods,177,13.59,24.19,0,0
2025-10-08,INV-35923,Meijer,Northeast,SKU-1244,EliteBright Health & Wellness 6-ct Collection,Health & Wellness,324,14.69,28.76,0,0
2025-08-31,INV-89153,Meijer,Midwest,SKU-1104,UltraMax Food & Beverage 36-ct Pack,Food & Beverage,474,4.59,7.59,0,0
2025-08-11,INV-45805,Meijer,Midwest,SKU-1585,FreshCare Medical Supplies 12-ct Bundle,Medical Supplies,496,9.3,19.99,0,25
2025-08-09,INV-50786,Family Dollar,Midwest,SKU-1261,MegaShield Beauty 6-ct Box,Beauty,417,16.28,54.11,0,0
2025-09-24,INV-20164,Costco,Midwest,SKU-1457,ProBright Health & Wellness 12-ct Collection,Health & Wellness,117,13.05,30.21,0,0
2025-09-03,INV-83229,Publix,Southwest,SKU-1962,PremiumSoft Paper Goods 24-ct Set,Paper Goods,300,10.62,21.6,0,0
2025-10-27,INV-90401,Publix,Southwest,SKU-1151,EssentialGuard Beauty Box,Beauty,72,18.47,46.53,0,0
2025-08-29,INV-69625,Amazon,West,SKU-1325,ProCare Food & Beverage 36-ct Bundle,Food & Beverage,468,3.82,5.47,0,0
2025-09-02,INV-86293,H-E-B,Northeast,SKU-1721,PurePlus Medical Supplies 6-ct Pack,Medical Supplies,24,5.55,10.82,0,0
2025-08-23,INV-10179,Dollar General,Southeast,SKU-1484,MegaShield Paper Goods 24-ct Box,Paper Goods,259,10.89,24.32,0,0
2025-09-27,INV-28162,Meijer,Southwest,SKU-1234,PureCare Cleaning 6-ct Case,Cleaning,397,2.35,4.78,0,0
2025-08-27,INV-39595,Meijer,National,SKU-1747,UltraPlus Health & Wellness Pack,Health & Wellness,457,13.04,33.33,0,0
2025-09-02,INV-38305,Publix,Northeast,SKU-1989,EssentialFresh Home Goods 12-ct Collection,Home Goods,348,17.8,37.48,0.82,0
2025-10-29,INV-72640,Walgreens,Southeast,SKU-1771,UltraClean Beauty 36-ct Collection,Beauty,103,3.89,12.29,0,0
2025-11-03,INV-34663,Wegmans,Midwest,SKU-1313,UltraShield Health & Wellness 12-ct Bundle,Health & Wellness,500,7.73,15.61,1.56,0
2025-10-29,INV-12737,Dollar General,National,SKU-1644,SuperSoft Health & Wellness 12-ct Box,Health & Wellness,328,17.06,32.44,0,18
2025-10-08,INV-61815,Wegmans,Midwest,SKU-1929,PureShield Beauty 36-ct Bundle,Beauty,470,21.76,48.32,0,0
2025-08-24,INV-89105,Target,National,SKU-1709,PremiumComfort Medical Supplies Case,Medical Supplies,364,26.83,57.29,0,0
2025-10-31,INV-87270,Kroger,Midwest,SKU-1122,SuperMax Health & Wellness 12-ct Box,Health & Wellness,236,23.5,47.13,0,0
2025-10-25,INV-87150,Costco,Northeast,SKU-1210,UltraPlus Medical Supplies 6-ct Case,Medical Supplies,399,15.55,26.42,0,0
2025-09-05,INV-48201,Target,Midwest,SKU-1896,FreshGuard Personal Care 6-ct Case,Personal Care,57,3.77,7.53,0,0
2025-09-07,INV-75947,Walgreens,National,SKU-1242,UltraCare Medical Supplies 6-ct Set,Medical Supplies,234,8.49,13.53,0,0
2025-09-05,INV-57946,Target,Southeast,SKU-1946,UltraGuard Health & Wellness 6-ct Bundle,Health & Wellness,413,18.61,29.82,0,11
2025-09-01,INV-23172,Kroger,West,SKU-1976,SuperCare Health & Wellness 36-ct Case,Health & Wellness,371,17.83,41.94,1.39,34
2025-08-23,INV-30697,Family Dollar,Midwest,SKU-1655,AdvancedGuard Medical Supplies 48-ct Case,Medical Supplies,249,5.65,10.25,0,0
2025-10-07,INV-31262,Dollar General,West,SKU-1198,FreshFresh Medical Supplies 36-ct Set,Medical Supplies,450,21.11,46.09,0,0
2025-10-25,INV-99506,Costco,Midwest,SKU-1437,PremiumClean Beauty 12-ct Case,Beauty,499,3.76,10.31,0,0
2025-10-21,INV-49036,Costco,Northeast,SKU-1358,EliteGuard Health & Wellness Bundle,Health & Wellness,444,21.21,48.25,0,0
2025-09-13,INV-30874,Whole Foods,West,SKU-1366,EssentialPlus Home Goods 6-ct Pack,Home Goods,413,17.92,32.0,0,0
2025-10-18,INV-66061,CVS,West,SKU-1582,PremiumCare Beauty 24-ct Set,Beauty,189,16.75,48.25,0,0
2025-08-19,INV-17341,BJ's Wholesale,Northeast,SKU-1775,UltraGuard Personal Care 6-ct Collection,Personal Care,447,9.32,19.72,0,0
2025-08-16,INV-17959,Meijer,National,SKU-1636,PremiumFresh Paper Goods 36-ct Kit,Paper Goods,99,9.59,18.86,1.66,0
2025-09-10,INV-97742,Albertsons,Southeast,SKU-1433,PremiumGuard Home Goods 24-ct Collection,Home Goods,95,15.04,23.11,0,0
2025-10-26,INV-84120,Rite Aid,West,SKU-1248,MegaComfort Paper Goods 48-ct Kit,Paper Goods,86,5.55,12.64,0,11
2025-10-04,INV-33587,Dollar General,Southeast,SKU-1448,FreshSoft Cleaning 24-ct Set,Cleaning,287,4.67,10.4,0,0
2025-08-19,INV-68747,Amazon,National,SKU-1300,ProBright Personal Care 36-ct Case,Personal Care,477,5.08,10.15,1.19,0
2025-09-15,INV-76926,Wegmans,National,SKU-1254,UltraPlus Food & Beverage 36-ct Kit,Food & Beverage,433,6.18,9.93,0,0
2025-10-30,INV-73941,Dollar General,National,SKU-1040,EliteClean Cleaning Box,Cleaning,422,2.66,4.65,0.66,0
2025-08-19,INV-39070,Dollar General,West,SKU-1094,PureShield Paper Goods Box,Paper Goods,406,10.87,22.53,1.85,0
2025-10-24,INV-45520,H-E-B,National,SKU-1520,UltraFresh Paper Goods 48-ct Pack,Paper Goods,60,14.88,27.74,0,7
2025-08-18,INV-78113,Walmart,Midwest,SKU-1976,SuperCare Health & Wellness 36-ct Case,Health & Wellness,383,17.83,39.26,0,0
2025-08-27,INV-86537,Amazon,Northeast,SKU-1486,PremiumBright Home Goods 12-ct Box,Home Goods,53,34.19,50.53,0,0
2025-08-09,INV-57020,Amazon,Midwest,SKU-1516,EssentialShield Cleaning 24-ct Collection,Cleaning,200,8.08,18.78,0,0
2025-09-11,INV-42805,Albertsons,National,SKU-1027,PureShield Health & Wellness 48-ct Box,Health & Wellness,313,16.58,27.72,0,14
2025-09-07,INV-47554,Costco,Midwest,SKU-1815,ProGuard Beauty 48-ct Bundle,Beauty,22,8.06,19.05,0,0
2025-09-04,INV-66975,Wegmans,Midwest,SKU-1085,EliteShield Personal Care 36-ct Box,Personal Care,103,7.71,24.21,0,0
2025-09-14,INV-48828,Kroger,Southwest,SKU-1769,EliteBright Beauty Kit,Beauty,365,7.29,18.56,0,0
2025-08-07,INV-32411,Costco,Southeast,SKU-1154,EliteClean Medical Supplies 6-ct Kit,Medical Supplies,369,11.78,24.95,0,0
2025-09-11,INV-59479,Albertsons,Southwest,SKU-1768,PureBright Food & Beverage 48-ct Kit,Food & Beverage,472,2.84,3.72,0,0
2025-10-22,INV-41665,Walgreens,Northeast,SKU-1796,SuperComfort Medical Supplies 6-ct Kit,Medical Supplies,32,20.28,36.09,0,0
